,Text,Tweet Id,no_contract,tokenized,lower_case,punctuation_removed,stopwords_removed,Text_Cleaned,Target
11407,RT New looking 🔥. But that price tag? 🤢🤮🤮 We’re giving one away so you don’t have to break the bank. Win an by…,1042882101291503616,RT New looking 🔥. But that price tag? 🤢🤮🤮 we are giving one away so you do not have to break the bank. Win an by…,"['RT', 'New', 'looking', '🔥', '.', 'But', 'that', 'price', 'tag', '?', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', '.', 'Win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', '.', 'but', 'that', 'price', 'tag', '?', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', '.', 'win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', 'but', 'that', 'price', 'tag', '🤢🤮🤮', 'we', 'are', 'giving', 'one', 'away', 'so', 'you', 'do', 'not', 'have', 'to', 'break', 'the', 'bank', 'win', 'an', 'by…']","['rt', 'new', 'looking', '🔥', 'price', 'tag', '🤢🤮🤮', 'giving', 'one', 'away', 'break', 'bank', 'win', 'by…']",rt new looking 🔥 price tag 🤢🤮🤮 giving one away break bank win by…,0
2661,RT Apple Watch Series 4 from $425! Get now! From eBay: https://t.co/7VmNiObqzq,1043597255008235520,RT Apple Watch Series 4 from $425! Get now! From eBay: https://t.co/7VmNiObqzq,"['RT', 'Apple', 'Watch', 'Series', '4', 'from', '$', '425', '!', 'Get', 'now', '!', 'From', 'eBay', ':', 'https', ':', '//t.co/7VmNiObqzq']","['rt', 'apple', 'watch', 'series', '4', 'from', '$', '425', '!', 'get', 'now', '!', 'from', 'ebay', ':', 'https', ':', '//t.co/7vmniobqzq']","['rt', 'apple', 'watch', 'series', '4', 'from', '425', 'get', 'now', 'from', 'ebay', 'https', '//t.co/7vmniobqzq']","['rt', 'apple', 'watch', 'series', '4', '425', 'get', 'ebay', '//t.co/7vmniobqzq']",rt apple watch series 4 425 get ebay //t.co/7vmniobqzq,0
9964,RT The first new iPhones in the world have walked out the door in Sydney https://t.co/7xP…,1043065342870863872,RT The first new iPhones in the world have walked out the door in Sydney https://t.co/7xP…,"['RT', 'The', 'first', 'new', 'iPhones', 'in', 'the', 'world', 'have', 'walked', 'out', 'the', 'door', 'in', 'Sydney', 'https', ':', '//t.co/7xP…']","['rt', 'the', 'first', 'new', 'iphones', 'in', 'the', 'world', 'have', 'walked', 'out', 'the', 'door', 'in', 'sydney', 'https', ':', '//t.co/7xp…']","['rt', 'the', 'first', 'new', 'iphones', 'in', 'the', 'world', 'have', 'walked', 'out', 'the', 'door', 'in', 'sydney', 'https', '//t.co/7xp…']","['rt', 'first', 'new', 'iphones', 'world', 'walked', 'door', 'sydney', '//t.co/7xp…']",rt first new iphones world walked door sydney //t.co/7xp…,0
12445,RT job fairy! we’re looking for some new part timers to help us handle the rush on and launch day https://…,1042761375024603136,RT job fairy! we are looking for some new part timers to help us handle the rush on and launch day https://…,"['RT', 'job', 'fairy', '!', 'we', 'are', 'looking', 'for', 'some', 'new', 'part', 'timers', 'to', 'help', 'us', 'handle', 'the', 'rush', 'on', 'and', 'launch', 'day', 'https', ':', '//…']","['rt', 'job', 'fairy', '!', 'we', 'are', 'looking', 'for', 'some', 'new', 'part', 'timers', 'to', 'help', 'us', 'handle', 'the', 'rush', 'on', 'and', 'launch', 'day', 'https', ':', '//…']","['rt', 'job', 'fairy', 'we', 'are', 'looking', 'for', 'some', 'new', 'part', 'timers', 'to', 'help', 'us', 'handle', 'the', 'rush', 'on', 'and', 'launch', 'day', 'https', '//…']","['rt', 'job', 'fairy', 'looking', 'new', 'part', 'timers', 'help', 'us', 'handle', 'rush', 'launch', 'day', '//…']",rt job fairy looking new part timers help us handle rush launch day //…,0
12319,RT iPhone Xs Max 512GB is R31 000. Someone’s father is going to buy it for his 22yrs old girlfriend. https://t.…,1042777278416085000,RT iPhone Xs Max 512GB is R31 000. someone is father is going to buy it for his 22yrs old girlfriend. https://t.…,"['RT', 'iPhone', 'Xs', 'Max', '512GB', 'is', 'R31', '000.', 'someone', 'is', 'father', 'is', 'going', 'to', 'buy', 'it', 'for', 'his', '22yrs', 'old', 'girlfriend', '.', 'https', ':', '//t.…']","['rt', 'iphone', 'xs', 'max', '512gb', 'is', 'r31', '000.', 'someone', 'is', 'father', 'is', 'going', 'to', 'buy', 'it', 'for', 'his', '22yrs', 'old', 'girlfriend', '.', 'https', ':', '//t.…']","['rt', 'iphone', 'xs', 'max', '512gb', 'is', 'r31', '000.', 'someone', 'is', 'father', 'is', 'going', 'to', 'buy', 'it', 'for', 'his', '22yrs', 'old', 'girlfriend', 'https', '//t.…']","['rt', 'iphone', 'xs', 'max', '512gb', 'r31', '000.', 'someone', 'father', 'going', 'buy', '22yrs', 'old', 'girlfriend', '//t.…']",rt iphone xs max 512gb r31 000. someone father going buy 22yrs old girlfriend //t.…,0
10017,RT Welcome to the big screens. iPhone XS and iPhone XS Max in stock at Compu b stores nationwide UK &amp; Ireland. https://t.co/mTXmqH…,1043059415266545664,RT Welcome to the big screens. iPhone XS and iPhone XS Max in stock at Compu b stores nationwide UK &amp; Ireland. https://t.co/mTXmqH…,"['RT', 'Welcome', 'to', 'the', 'big', 'screens', '.', 'iPhone', 'XS', 'and', 'iPhone', 'XS', 'Max', 'in', 'stock', 'at', 'Compu', 'b', 'stores', 'nationwide', 'UK', '&', 'amp', ';', 'Ireland', '.', 'https', ':', '//t.co/mTXmqH…']","['rt', 'welcome', 'to', 'the', 'big', 'screens', '.', 'iphone', 'xs', 'and', 'iphone', 'xs', 'max', 'in', 'stock', 'at', 'compu', 'b', 'stores', 'nationwide', 'uk', '&', 'amp', ';', 'ireland', '.', 'https', ':', '//t.co/mtxmqh…']","['rt', 'welcome', 'to', 'the', 'big', 'screens', 'iphone', 'xs', 'and', 'iphone', 'xs', 'max', 'in', 'stock', 'at', 'compu', 'b', 'stores', 'nationwide', 'uk', 'amp', 'ireland', 'https', '//t.co/mtxmqh…']","['rt', 'welcome', 'big', 'screens', 'iphone', 'xs', 'iphone', 'xs', 'max', 'stock', 'compu', 'b', 'stores', 'nationwide', 'uk', 'amp', 'ireland', '//t.co/mtxmqh…']",rt welcome big screens iphone xs iphone xs max stock compu b stores nationwide uk amp ireland //t.co/mtxmqh…,0
2649,RT New Video - iPhone XS Max - GOLD - Unboxing + Giveaway! https://t.co/t8UZXfjHiG via,1043598512305397761,RT New Video - iPhone XS Max - GOLD - Unboxing + Giveaway! https://t.co/t8UZXfjHiG via,"['RT', 'New', 'Video', '-', 'iPhone', 'XS', 'Max', '-', 'GOLD', '-', 'Unboxing', '+', 'Giveaway', '!', 'https', ':', '//t.co/t8UZXfjHiG', 'via']","['rt', 'new', 'video', '-', 'iphone', 'xs', 'max', '-', 'gold', '-', 'unboxing', '+', 'giveaway', '!', 'https', ':', '//t.co/t8uzxfjhig', 'via']","['rt', 'new', 'video', 'iphone', 'xs', 'max', 'gold', 'unboxing', 'giveaway', 'https', '//t.co/t8uzxfjhig', 'via']","['rt', 'new', 'video', 'iphone', 'xs', 'max', 'gold', 'unboxing', 'giveaway', '//t.co/t8uzxfjhig', 'via']",rt new video iphone xs max gold unboxing giveaway //t.co/t8uzxfjhig via,0
1216,RT Desert Night for iPhone XS MAX https://t.co/YsP6…,1043824439899680770,RT Desert Night for iPhone XS MAX https://t.co/YsP6…,"['RT', 'Desert', 'Night', 'for', 'iPhone', 'XS', 'MAX', 'https', ':', '//t.co/YsP6…']","['rt', 'desert', 'night', 'for', 'iphone', 'xs', 'max', 'https', ':', '//t.co/ysp6…']","['rt', 'desert', 'night', 'for', 'iphone', 'xs', 'max', 'https', '//t.co/ysp6…']","['rt', 'desert', 'night', 'iphone', 'xs', 'max', '//t.co/ysp6…']",rt desert night iphone xs max //t.co/ysp6…,0
5861,"My iPhone is no longer expected to deliver today, and I “requested” a later date? Nope.",1043268226040311809,"My iPhone is no longer expected to deliver today, and I “requested” a later date? Nope.","['My', 'iPhone', 'is', 'no', 'longer', 'expected', 'to', 'deliver', 'today', ',', 'and', 'I', '“', 'requested', '”', 'a', 'later', 'date', '?', 'Nope', '.']","['my', 'iphone', 'is', 'no', 'longer', 'expected', 'to', 'deliver', 'today', ',', 'and', 'i', '“', 'requested', '”', 'a', 'later', 'date', '?', 'nope', '.']","['my', 'iphone', 'is', 'no', 'longer', 'expected', 'to', 'deliver', 'today', 'and', 'i', '“', 'requested', '”', 'a', 'later', 'date', 'nope']","['iphone', 'longer', 'expected', 'deliver', 'today', '“', 'requested', '”', 'later', 'date', 'nope']",iphone longer expected deliver today “ requested ” later date nope,0
9366,"Ok ok ✋🏻 No matter wht , iPhone is IPhone 😍 https://t.co/pilXyNCGdu",1043114044662710272,"Ok ok ✋🏻 No matter wht , iPhone is IPhone 😍 https://t.co/pilXyNCGdu","['Ok', 'ok', '✋🏻', 'No', 'matter', 'wht', ',', 'iPhone', 'is', 'IPhone', '😍', 'https', ':', '//t.co/pilXyNCGdu']","['ok', 'ok', '✋🏻', 'no', 'matter', 'wht', ',', 'iphone', 'is', 'iphone', '😍', 'https', ':', '//t.co/pilxyncgdu']","['ok', 'ok', '✋🏻', 'no', 'matter', 'wht', 'iphone', 'is', 'iphone', '😍', 'https', '//t.co/pilxyncgdu']","['ok', 'ok', '✋🏻', 'matter', 'wht', 'iphone', 'iphone', '😍', '//t.co/pilxyncgdu']",ok ok ✋🏻 matter wht iphone iphone 😍 //t.co/pilxyncgdu,0
10103,India pre-orders begin https://t.co/ocPZELgfpd,1043051746338263040,India pre-orders begin https://t.co/ocPZELgfpd,"['India', 'pre-orders', 'begin', 'https', ':', '//t.co/ocPZELgfpd']","['india', 'pre-orders', 'begin', 'https', ':', '//t.co/ocpzelgfpd']","['india', 'pre-orders', 'begin', 'https', '//t.co/ocpzelgfpd']","['india', 'pre-orders', 'begin', '//t.co/ocpzelgfpd']",india pre-orders begin //t.co/ocpzelgfpd,0
4470,iPhone Xs Max Feels Small if You Owned an iPhone Plus https://t.co/l1KCGIWFQp https://t.co/44l3G7cbZk,1043376371542761473,iPhone Xs Max Feels Small if You Owned an iPhone Plus https://t.co/l1KCGIWFQp https://t.co/44l3G7cbZk,"['iPhone', 'Xs', 'Max', 'Feels', 'Small', 'if', 'You', 'Owned', 'an', 'iPhone', 'Plus', 'https', ':', '//t.co/l1KCGIWFQp', 'https', ':', '//t.co/44l3G7cbZk']","['iphone', 'xs', 'max', 'feels', 'small', 'if', 'you', 'owned', 'an', 'iphone', 'plus', 'https', ':', '//t.co/l1kcgiwfqp', 'https', ':', '//t.co/44l3g7cbzk']","['iphone', 'xs', 'max', 'feels', 'small', 'if', 'you', 'owned', 'an', 'iphone', 'plus', 'https', '//t.co/l1kcgiwfqp', 'https', '//t.co/44l3g7cbzk']","['iphone', 'xs', 'max', 'feels', 'small', 'owned', 'iphone', 'plus', '//t.co/l1kcgiwfqp', '//t.co/44l3g7cbzk']",iphone xs max feels small owned iphone plus //t.co/l1kcgiwfqp //t.co/44l3g7cbzk,0
8673,RT I’m so happy now😊 https://t.co/E2Zz8JmMvm,1043139825556107264,RT I am so happy now😊 https://t.co/E2Zz8JmMvm,"['RT', 'I', 'am', 'so', 'happy', 'now😊', 'https', ':', '//t.co/E2Zz8JmMvm']","['rt', 'i', 'am', 'so', 'happy', 'now😊', 'https', ':', '//t.co/e2zz8jmmvm']","['rt', 'i', 'am', 'so', 'happy', 'now😊', 'https', '//t.co/e2zz8jmmvm']","['rt', 'happy', 'now😊', '//t.co/e2zz8jmmvm']",rt happy now😊 //t.co/e2zz8jmmvm,0
12399,RT Live Now … please RT … iPhone Xs vs iPhone Xs Max vs iPhone XR Comparison https://t.co/bHHHCNAhKC,1042770606964523008,RT Live Now … please RT … iPhone Xs vs iPhone Xs Max vs iPhone XR Comparison https://t.co/bHHHCNAhKC,"['RT', 'Live', 'Now', '…', 'please', 'RT', '…', 'iPhone', 'Xs', 'vs', 'iPhone', 'Xs', 'Max', 'vs', 'iPhone', 'XR', 'Comparison', 'https', ':', '//t.co/bHHHCNAhKC']","['rt', 'live', 'now', '…', 'please', 'rt', '…', 'iphone', 'xs', 'vs', 'iphone', 'xs', 'max', 'vs', 'iphone', 'xr', 'comparison', 'https', ':', '//t.co/bhhhcnahkc']","['rt', 'live', 'now', '…', 'please', 'rt', '…', 'iphone', 'xs', 'vs', 'iphone', 'xs', 'max', 'vs', 'iphone', 'xr', 'comparison', 'https', '//t.co/bhhhcnahkc']","['rt', 'live', '…', 'please', 'rt', '…', 'iphone', 'xs', 'vs', 'iphone', 'xs', 'max', 'vs', 'iphone', 'xr', 'comparison', '//t.co/bhhhcnahkc']",rt live … please rt … iphone xs vs iphone xs max vs iphone xr comparison //t.co/bhhhcnahkc,0
1963,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,1043692694168580099,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,"['RT', 'Our', 'biggest', 'prize', 'yet', '.', 'VBI', '&', 'amp', ';', 'Vast', 'are', 'back', 'with', 'a', 'HOT', 'giveaway', '.', 'Because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iPhone', 'Xs…']","['rt', 'our', 'biggest', 'prize', 'yet', '.', 'vbi', '&', 'amp', ';', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', '.', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iphone', 'xs…']","['rt', 'our', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', '🎉', 'iphone', 'xs…']","['rt', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'back', 'hot', 'giveaway', 'deserve', 'nice', 'things', '🎉', 'iphone', 'xs…']",rt biggest prize yet vbi amp vast back hot giveaway deserve nice things 🎉 iphone xs…,0
7644,Basic. https://t.co/X0dEg4Sh2R,1043181068017455104,Basic. https://t.co/X0dEg4Sh2R,"['Basic', '.', 'https', ':', '//t.co/X0dEg4Sh2R']","['basic', '.', 'https', ':', '//t.co/x0deg4sh2r']","['basic', 'https', '//t.co/x0deg4sh2r']","['basic', '//t.co/x0deg4sh2r']",basic //t.co/x0deg4sh2r,0
5140,My gang just got https://t.co/j5mGLqEKyy,1043317133310980097,My gang just got https://t.co/j5mGLqEKyy,"['My', 'gang', 'just', 'got', 'https', ':', '//t.co/j5mGLqEKyy']","['my', 'gang', 'just', 'got', 'https', ':', '//t.co/j5mglqekyy']","['my', 'gang', 'just', 'got', 'https', '//t.co/j5mglqekyy']","['gang', 'got', '//t.co/j5mglqekyy']",gang got //t.co/j5mglqekyy,0
6873,Got my 😄,1043213026843930624,Got my 😄,"['Got', 'my', '😄']","['got', 'my', '😄']","['got', 'my', '😄']","['got', '😄']",got 😄,0
799,just got a solo squad win on mobile https://t.co/FEK6FbWHaZ,1043892735730733056,just got a solo squad win on mobile https://t.co/FEK6FbWHaZ,"['just', 'got', 'a', 'solo', 'squad', 'win', 'on', 'mobile', 'https', ':', '//t.co/FEK6FbWHaZ']","['just', 'got', 'a', 'solo', 'squad', 'win', 'on', 'mobile', 'https', ':', '//t.co/fek6fbwhaz']","['just', 'got', 'a', 'solo', 'squad', 'win', 'on', 'mobile', 'https', '//t.co/fek6fbwhaz']","['got', 'solo', 'squad', 'win', 'mobile', '//t.co/fek6fbwhaz']",got solo squad win mobile //t.co/fek6fbwhaz,0
8939,RT Brand New iPhone XS MAX with faulty display. https://t.co/G7f…,1043136754042200064,RT Brand New iPhone XS MAX with faulty display. https://t.co/G7f…,"['RT', 'Brand', 'New', 'iPhone', 'XS', 'MAX', 'with', 'faulty', 'display', '.', 'https', ':', '//t.co/G7f…']","['rt', 'brand', 'new', 'iphone', 'xs', 'max', 'with', 'faulty', 'display', '.', 'https', ':', '//t.co/g7f…']","['rt', 'brand', 'new', 'iphone', 'xs', 'max', 'with', 'faulty', 'display', 'https', '//t.co/g7f…']","['rt', 'brand', 'new', 'iphone', 'xs', 'max', 'faulty', 'display', '//t.co/g7f…']",rt brand new iphone xs max faulty display //t.co/g7f…,0
5292,Here is the guided tour of and https://t.co/PIRzSYNwMj,1043306365115150336,Here is the guided tour of and https://t.co/PIRzSYNwMj,"['Here', 'is', 'the', 'guided', 'tour', 'of', 'and', 'https', ':', '//t.co/PIRzSYNwMj']","['here', 'is', 'the', 'guided', 'tour', 'of', 'and', 'https', ':', '//t.co/pirzsynwmj']","['here', 'is', 'the', 'guided', 'tour', 'of', 'and', 'https', '//t.co/pirzsynwmj']","['guided', 'tour', '//t.co/pirzsynwmj']",guided tour //t.co/pirzsynwmj,0
2285,My wasn’t set to even ship until 10/3-10/16 so I cancelled my order and bought on in stock at the neare… https://t.co/lpGqa0GT3X,1043643377219239936,My was not set to even ship until 10/3-10/16 so I cancelled my order and bought on in stock at the neare… https://t.co/lpGqa0GT3X,"['My', 'was', 'not', 'set', 'to', 'even', 'ship', 'until', '10/3-10/16', 'so', 'I', 'cancelled', 'my', 'order', 'and', 'bought', 'on', 'in', 'stock', 'at', 'the', 'neare…', 'https', ':', '//t.co/lpGqa0GT3X']","['my', 'was', 'not', 'set', 'to', 'even', 'ship', 'until', '10/3-10/16', 'so', 'i', 'cancelled', 'my', 'order', 'and', 'bought', 'on', 'in', 'stock', 'at', 'the', 'neare…', 'https', ':', '//t.co/lpgqa0gt3x']","['my', 'was', 'not', 'set', 'to', 'even', 'ship', 'until', '10/3-10/16', 'so', 'i', 'cancelled', 'my', 'order', 'and', 'bought', 'on', 'in', 'stock', 'at', 'the', 'neare…', 'https', '//t.co/lpgqa0gt3x']","['set', 'even', 'ship', '10/3-10/16', 'cancelled', 'order', 'bought', 'stock', 'neare…', '//t.co/lpgqa0gt3x']",set even ship 10/3-10/16 cancelled order bought stock neare… //t.co/lpgqa0gt3x,0
10116,stand in queue outside for latest https://t.co/kcpcmdnKx2,1043050819023712256,stand in queue outside for latest https://t.co/kcpcmdnKx2,"['stand', 'in', 'queue', 'outside', 'for', 'latest', 'https', ':', '//t.co/kcpcmdnKx2']","['stand', 'in', 'queue', 'outside', 'for', 'latest', 'https', ':', '//t.co/kcpcmdnkx2']","['stand', 'in', 'queue', 'outside', 'for', 'latest', 'https', '//t.co/kcpcmdnkx2']","['stand', 'queue', 'outside', 'latest', '//t.co/kcpcmdnkx2']",stand queue outside latest //t.co/kcpcmdnkx2,0
1415,RT Can confirm new Portrait mode is 👌🏻👌🏻👌🏻👌🏻 https://t.co/VGei9wW2We,1043787859755520003,RT Can confirm new Portrait mode is 👌🏻👌🏻👌🏻👌🏻 https://t.co/VGei9wW2We,"['RT', 'Can', 'confirm', 'new', 'Portrait', 'mode', 'is', '👌🏻👌🏻👌🏻👌🏻', 'https', ':', '//t.co/VGei9wW2We']","['rt', 'can', 'confirm', 'new', 'portrait', 'mode', 'is', '👌🏻👌🏻👌🏻👌🏻', 'https', ':', '//t.co/vgei9ww2we']","['rt', 'can', 'confirm', 'new', 'portrait', 'mode', 'is', '👌🏻👌🏻👌🏻👌🏻', 'https', '//t.co/vgei9ww2we']","['rt', 'confirm', 'new', 'portrait', 'mode', '👌🏻👌🏻👌🏻👌🏻', '//t.co/vgei9ww2we']",rt confirm new portrait mode 👌🏻👌🏻👌🏻👌🏻 //t.co/vgei9ww2we,0
12291,RT iPhone Xs Max 512GB is R31 000. Someone’s father is going to buy it for his 22yrs old girlfriend. https://t.…,1042779100920930304,RT iPhone Xs Max 512GB is R31 000. someone is father is going to buy it for his 22yrs old girlfriend. https://t.…,"['RT', 'iPhone', 'Xs', 'Max', '512GB', 'is', 'R31', '000.', 'someone', 'is', 'father', 'is', 'going', 'to', 'buy', 'it', 'for', 'his', '22yrs', 'old', 'girlfriend', '.', 'https', ':', '//t.…']","['rt', 'iphone', 'xs', 'max', '512gb', 'is', 'r31', '000.', 'someone', 'is', 'father', 'is', 'going', 'to', 'buy', 'it', 'for', 'his', '22yrs', 'old', 'girlfriend', '.', 'https', ':', '//t.…']","['rt', 'iphone', 'xs', 'max', '512gb', 'is', 'r31', '000.', 'someone', 'is', 'father', 'is', 'going', 'to', 'buy', 'it', 'for', 'his', '22yrs', 'old', 'girlfriend', 'https', '//t.…']","['rt', 'iphone', 'xs', 'max', '512gb', 'r31', '000.', 'someone', 'father', 'going', 'buy', '22yrs', 'old', 'girlfriend', '//t.…']",rt iphone xs max 512gb r31 000. someone father going buy 22yrs old girlfriend //t.…,0
1356,The low light photography is just amazing! https://t.co/tYSv3VvJjw,1043797985136533510,The low light photography is just amazing! https://t.co/tYSv3VvJjw,"['The', 'low', 'light', 'photography', 'is', 'just', 'amazing', '!', 'https', ':', '//t.co/tYSv3VvJjw']","['the', 'low', 'light', 'photography', 'is', 'just', 'amazing', '!', 'https', ':', '//t.co/tysv3vvjjw']","['the', 'low', 'light', 'photography', 'is', 'just', 'amazing', 'https', '//t.co/tysv3vvjjw']","['low', 'light', 'photography', 'amazing', '//t.co/tysv3vvjjw']",low light photography amazing //t.co/tysv3vvjjw,0
563,"This camera is amazing! This kid is amazing, too. ❤️⚾️ gavflash Studio City, California https://t.co/48ouQbsLiN",1043923371023577089,"This camera is amazing! This kid is amazing, too. ❤️⚾️ gavflash Studio City, California https://t.co/48ouQbsLiN","['This', 'camera', 'is', 'amazing', '!', 'This', 'kid', 'is', 'amazing', ',', 'too', '.', '❤️⚾️', 'gavflash', 'Studio', 'City', ',', 'California', 'https', ':', '//t.co/48ouQbsLiN']","['this', 'camera', 'is', 'amazing', '!', 'this', 'kid', 'is', 'amazing', ',', 'too', '.', '❤️⚾️', 'gavflash', 'studio', 'city', ',', 'california', 'https', ':', '//t.co/48ouqbslin']","['this', 'camera', 'is', 'amazing', 'this', 'kid', 'is', 'amazing', 'too', '❤️⚾️', 'gavflash', 'studio', 'city', 'california', 'https', '//t.co/48ouqbslin']","['camera', 'amazing', 'kid', 'amazing', '❤️⚾️', 'gavflash', 'studio', 'city', 'california', '//t.co/48ouqbslin']",camera amazing kid amazing ❤️⚾️ gavflash studio city california //t.co/48ouqbslin,0
3115,Mega smartphone 1 2 And Phones Here : https://t.co/5kGsg90pvy,1043556017789779968,Mega smartphone 1 2 And Phones Here : https://t.co/5kGsg90pvy,"['Mega', 'smartphone', '1', '2', 'And', 'Phones', 'Here', ':', 'https', ':', '//t.co/5kGsg90pvy']","['mega', 'smartphone', '1', '2', 'and', 'phones', 'here', ':', 'https', ':', '//t.co/5kgsg90pvy']","['mega', 'smartphone', '1', '2', 'and', 'phones', 'here', 'https', '//t.co/5kgsg90pvy']","['mega', 'smartphone', '1', '2', 'phones', '//t.co/5kgsg90pvy']",mega smartphone 1 2 phones //t.co/5kgsg90pvy,0
12078,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,1042793386577555456,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,"['RT', 'Our', 'biggest', 'prize', 'yet', '.', 'VBI', '&', 'amp', ';', 'Vast', 'are', 'back', 'with', 'a', 'HOT', 'giveaway', '.', 'Because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iPhone', 'Xs…']","['rt', 'our', 'biggest', 'prize', 'yet', '.', 'vbi', '&', 'amp', ';', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', '.', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iphone', 'xs…']","['rt', 'our', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', '🎉', 'iphone', 'xs…']","['rt', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'back', 'hot', 'giveaway', 'deserve', 'nice', 'things', '🎉', 'iphone', 'xs…']",rt biggest prize yet vbi amp vast back hot giveaway deserve nice things 🎉 iphone xs…,0
145,"RT 💭 Coffee Time Good Morning Emoji, newly released sticker pack with a cute coffee theme an…",1043986289576615937,"RT 💭 Coffee Time Good Morning Emoji, newly released sticker pack with a cute coffee theme an…","['RT', '💭', 'Coffee', 'Time', 'Good', 'Morning', 'Emoji', ',', 'newly', 'released', 'sticker', 'pack', 'with', 'a', 'cute', 'coffee', 'theme', 'an…']","['rt', '💭', 'coffee', 'time', 'good', 'morning', 'emoji', ',', 'newly', 'released', 'sticker', 'pack', 'with', 'a', 'cute', 'coffee', 'theme', 'an…']","['rt', '💭', 'coffee', 'time', 'good', 'morning', 'emoji', 'newly', 'released', 'sticker', 'pack', 'with', 'a', 'cute', 'coffee', 'theme', 'an…']","['rt', '💭', 'coffee', 'time', 'good', 'morning', 'emoji', 'newly', 'released', 'sticker', 'pack', 'cute', 'coffee', 'theme', 'an…']",rt 💭 coffee time good morning emoji newly released sticker pack cute coffee theme an…,0
14922,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,1042402506452525058,RT Our biggest prize yet. VBI &amp; Vast are back with a HOT giveaway. Because you deserve all the nice things: 🎉 iPhone Xs…,"['RT', 'Our', 'biggest', 'prize', 'yet', '.', 'VBI', '&', 'amp', ';', 'Vast', 'are', 'back', 'with', 'a', 'HOT', 'giveaway', '.', 'Because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iPhone', 'Xs…']","['rt', 'our', 'biggest', 'prize', 'yet', '.', 'vbi', '&', 'amp', ';', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', '.', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', ':', '🎉', 'iphone', 'xs…']","['rt', 'our', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'are', 'back', 'with', 'a', 'hot', 'giveaway', 'because', 'you', 'deserve', 'all', 'the', 'nice', 'things', '🎉', 'iphone', 'xs…']","['rt', 'biggest', 'prize', 'yet', 'vbi', 'amp', 'vast', 'back', 'hot', 'giveaway', 'deserve', 'nice', 'things', '🎉', 'iphone', 'xs…']",rt biggest prize yet vbi amp vast back hot giveaway deserve nice things 🎉 iphone xs…,0
6204,"My first tweet from my new feels so sweet. Now, it's time to wait for all these apps to finish loading.",1043249303509188608,"My first tweet from my new feels so sweet. Now, it is time to wait for all these apps to finish loading.","['My', 'first', 'tweet', 'from', 'my', 'new', 'feels', 'so', 'sweet', '.', 'Now', ',', 'it', 'is', 'time', 'to', 'wait', 'for', 'all', 'these', 'apps', 'to', 'finish', 'loading', '.']","['my', 'first', 'tweet', 'from', 'my', 'new', 'feels', 'so', 'sweet', '.', 'now', ',', 'it', 'is', 'time', 'to', 'wait', 'for', 'all', 'these', 'apps', 'to', 'finish', 'loading', '.']","['my', 'first', 'tweet', 'from', 'my', 'new', 'feels', 'so', 'sweet', 'now', 'it', 'is', 'time', 'to', 'wait', 'for', 'all', 'these', 'apps', 'to', 'finish', 'loading']","['first', 'tweet', 'new', 'feels', 'sweet', 'time', 'wait', 'apps', 'finish', 'loading']",first tweet new feels sweet time wait apps finish loading,0
